Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
"?a gender ""female""",?a hasSpouse Yes,759,0.36100131752305664,0.9288135593220339,274,1,295,?a
"?a gender ""male""",?a hasSpouse Yes,759,0.3372859025032938,0.7335243553008596,256,1,349,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a hasSpouse Yes,759,1.0,0.39367219917012447,759,1,1928,?a
?b spouse ?a,?a spouse ?b,865,0.7653179190751445,0.9323943661971831,662,1,710,?a
?b successor ?a,?a parent ?b,946,0.11945031712473574,0.44841269841269843,113,1,252,?a
?a predecessor ?b,?a parent ?b,946,0.12156448202959831,0.4581673306772908,115,1,251,?a
?a father ?b,?a parent ?b,946,0.45560253699788583,0.8484251968503937,431,1,508,?a
?a mother ?b,?a parent ?b,946,0.3298097251585624,0.8,312,1,390,?a
?b child ?a,?a parent ?b,946,0.3583509513742072,0.8033175355450237,339,1,422,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a hasSpouse No,1169,1.0,0.6063278008298755,1169,1,1928,?a
"?a gender ""male""",?a hasSpouse No,1169,0.07955517536355859,0.2664756446991404,93,1,349,?a
"?a gender ""female""",?a hasSpouse No,1169,0.017964071856287425,0.0711864406779661,21,1,295,?a
?b parent ?a,?a child ?b,1508,0.22480106100795755,0.8188405797101449,339,1,414,?a
?b father ?a,?a child ?b,1508,0.1319628647214854,0.8291666666666667,199,1,240,?a
?b mother ?a,?a child ?b,1508,0.10543766578249338,0.828125,159,1,192,?a
?a successor ?b,?a child ?b,1508,0.08421750663129973,0.6047619047619047,127,1,210,?a
?b predecessor ?a,?a child ?b,1508,0.08421750663129973,0.5852534562211982,127,1,217,?a
?b child ?a,?a mother ?b,408,0.3897058823529412,0.4847560975609756,159,1,328,?a
?b successor ?a,?a mother ?b,408,0.02696078431372549,0.061452513966480445,11,1,179,?a
?a parent ?b,?a mother ?b,408,0.7647058823529411,0.4921135646687697,312,1,634,?a
?a predecessor ?b,?a mother ?b,408,0.024509803921568627,0.05649717514124294,10,1,177,?a
?b predecessor ?a,?a successor ?b,354,0.7570621468926554,0.9273356401384083,268,1,289,?a
?b parent ?a,?a successor ?b,354,0.3192090395480226,0.4788135593220339,113,1,236,?a
?b mother ?a,?a successor ?b,354,0.031073446327683617,0.4230769230769231,11,1,26,?a
?b father ?a,?a successor ?b,354,0.288135593220339,0.49038461538461536,102,1,208,?a
?b spouse ?a,?a successor ?b,354,0.022598870056497175,0.03571428571428571,8,1,224,?a
?b successor ?a,?a successor ?b,354,0.011299435028248588,0.017777777777777778,4,1,225,?a
?a spouse ?b,?a successor ?b,354,0.01977401129943503,0.030434782608695653,7,1,230,?a
?a predecessor ?b,?a successor ?b,354,0.02824858757062147,0.04484304932735426,10,1,223,?a
?a child ?b,?a successor ?b,354,0.3587570621468927,0.19689922480620156,127,1,645,?a
?b name ?a,?a name ?b,585,0.1641025641025641,1.0,96,1,96,?a
?b successor ?a,?a predecessor ?b,358,0.7486033519553073,0.8844884488448845,268,1,303,?a
?b child ?a,?a predecessor ?b,358,0.3547486033519553,0.5120967741935484,127,1,248,?a
?b spouse ?a,?a predecessor ?b,358,0.019553072625698324,0.03153153153153153,7,1,222,?a
?b predecessor ?a,?a predecessor ?b,358,0.0335195530726257,0.05357142857142857,12,1,224,?a
?a successor ?b,?a predecessor ?b,358,0.027932960893854747,0.046948356807511735,10,1,213,?a
?a father ?b,?a predecessor ?b,358,0.29608938547486036,0.6385542168674698,106,1,166,?a
?a parent ?b,?a predecessor ?b,358,0.32122905027932963,0.3605015673981191,115,1,319,?a
?a mother ?b,?a predecessor ?b,358,0.027932960893854747,0.07042253521126761,10,1,142,?a
?a spouse ?b,?a predecessor ?b,358,0.0223463687150838,0.0380952380952381,8,1,210,?a
?b child ?a,?a father ?b,561,0.35472370766488415,0.5574229691876751,199,1,357,?a
?b successor ?a,?a father ?b,561,0.18181818181818182,0.4927536231884058,102,1,207,?a
?a predecessor ?b,?a father ?b,561,0.1889483065953654,0.5120772946859904,106,1,207,?a
?a parent ?b,?a father ?b,561,0.768270944741533,0.5597402597402598,431,1,770,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,1.0,0.4562780269058296,407,1,892,?a
?a hasSpouse Yes,"?a gender ""female""",407,0.6732186732186732,0.5169811320754717,274,1,530,?a
?a hasSpouse No,"?a gender ""female""",407,0.051597051597051594,0.18421052631578946,21,1,114,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""male""",485,1.0,0.5437219730941704,485,1,892,?a
?a hasSpouse No,"?a gender ""male""",485,0.19175257731958764,0.8157894736842105,93,1,114,?a
?a hasSpouse Yes,"?a gender ""male""",485,0.5278350515463918,0.4830188679245283,256,1,530,?a
?a hasSpouse No,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.4407993966817496,1.0,1169,1,1169,?a
?a hasSpouse Yes,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.2861990950226244,1.0,759,1,759,?a
"?a gender ""male""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.18288084464555052,1.0,485,1,485,?a
"?a gender ""female""",?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.15346907993966818,1.0,407,1,407,?a
"?a name ?c   ?c gender ""female""",?a hasSpouse Yes,759,0.061923583662714096,0.9791666666666666,47,2,48,?a
?a name ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a hasSpouse Yes,759,0.48089591567852435,0.852803738317757,365,2,428,?a
"?a mother ?c   ?c gender ""female""",?a hasSpouse Yes,759,0.3241106719367589,0.9461538461538461,246,2,260,?a
?a mother ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a hasSpouse Yes,759,0.380764163372859,0.9475409836065574,289,2,305,?a
?a spouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a hasSpouse Yes,759,0.7733860342555995,1.0,587,2,587,?a
"?a spouse ?c   ?c gender ""male""",?a hasSpouse Yes,759,0.3386034255599473,1.0,257,2,257,?a
"?a spouse ?c   ?c gender ""female""",?a hasSpouse Yes,759,0.310935441370224,1.0,236,2,236,?a
?a child ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a hasSpouse Yes,759,0.4057971014492754,0.9535603715170279,308,2,323,?a
?a child ?c   ?c hasSpouse No,?a hasSpouse Yes,759,0.3359683794466403,0.9622641509433962,255,2,265,?a
"?a child ?c   ?c gender ""male""",?a hasSpouse Yes,759,0.17654808959156784,0.9241379310344827,134,2,145,?a
"?a child ?c   ?c gender ""female""",?a hasSpouse Yes,759,0.15942028985507245,0.9918032786885246,121,2,122,?a
"?a father ?c   ?c gender ""male""",?a hasSpouse Yes,759,0.3820816864295125,0.8579881656804734,290,2,338,?a
?a father ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a hasSpouse Yes,759,0.4756258234519104,0.8719806763285024,361,2,414,?a
?a father ?c   ?c hasSpouse No,?a hasSpouse Yes,759,0.061923583662714096,0.6911764705882353,47,2,68,?a
?a spouse ?c   ?c name ?b,?a spouse ?b,865,0.09017341040462427,0.16631130063965885,78,2,469,?a
?a spouse ?c   ?b name ?c,?a spouse ?b,865,0.09017341040462427,0.9397590361445783,78,2,83,?a
?a spouse ?c   ?c spouse ?b,?a spouse ?b,865,0.013872832369942197,0.014336917562724014,12,2,837,?a
