Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?c child ?a   ?c child ?d   ?b child ?d,?a predecessor ?b,358,0.3770949720670391,0.46551724137931033,135,3,290,?a
?b father ?c,Louis_XIV parent ?b,2,1.0,0.0035650623885918,2,1,561,?b
?c name ?a   ?c name ?d   ?b spouse ?d,?a father ?b,561,0.0,0.0,0,3,68,?a
?b hasSpouse ?c,Maria_Beatrice_of_Savoy child ?b,3,0.6666666666666666,0.001037344398340249,2,1,1928,?b
?c name ?a   ?c child ?b,?a parent ?b,946,0.0010570824524312897,0.00546448087431694,1,2,183,?a
?c child ?a   ?c successor ?d   ?b child ?d,?a parent ?b,946,0.17758985200845667,0.6746987951807228,168,3,249,?a
?b child Archduchess_Maria_Anna_of_Austria_born_1738,Marie_Antoinette parent ?b,2,1.0,1.0,2,1,2,?b
"?b gender ""female""",Philip_II_of_France spouse ?b,3,0.6666666666666666,0.004914004914004914,2,1,407,?b
?a predecessor Maria_Theresa,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0011312217194570137,1.0,3,1,3,?a
?c parent ?b,Marie_Th_r_se_of_France parent ?b,2,1.0,0.0024630541871921183,2,1,812,?b
Louis_Philippe_I successor ?a,"?a gender ""male""",485,0.004123711340206186,1.0,2,1,2,?a
Ermengarde_of_Hesbaye child ?b,Louis_the_Pious successor ?b,3,0.6666666666666666,1.0,2,1,2,?b
?b hasSpouse ?c,Claude_of_France child ?b,5,0.6,0.0015560165975103733,3,1,1928,?b
?a child Jacques_of_Savoy_Count_of_Romont,?a child Amadeus_IX_Duke_of_Savoy,2,1.0,1.0,2,1,2,?a
?a child Henry_III_of_France,?a child Charles_IX_of_France,2,1.0,1.0,2,1,2,?a
?a child Princess_Maria_Carolina_of_Savoy,?a child Maria_Anna_of_Savoy_Duchess_of_Chablais,2,1.0,1.0,2,1,2,?a
?a name ?c,?a parent Ferdinand_I_Holy_Roman_Emperor,4,1.0,0.008097165991902834,4,1,494,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Christine_of_France,2,1.0,0.00468384074941452,2,1,427,?a
?a gender ?c,?a parent Charles_V_of_France,2,1.0,0.0041841004184100415,2,1,478,?a
Leopold_II_Holy_Roman_Emperor parent ?a,?a child Archduchess_Maria_Elisabeth_of_Austria_born_1737,2,1.0,1.0,2,1,2,?a
Francis_Duke_of_Anjou parent ?a,?a child Henry_III_of_France,2,1.0,1.0,2,1,2,?a
?c spouse ?b,Louis_IX_of_France child ?b,8,0.375,0.003963011889035667,3,1,757,?b
?a name ?c,?a child Louis_Count_of__vreux,2,1.0,0.006191950464396285,2,1,323,?a
?c predecessor ?a,?a name John_II,5,0.8,0.02127659574468085,4,1,188,?a
?b child ?c,Louis_I_Duke_of_Orl_ans parent ?b,2,1.0,0.00468384074941452,2,1,427,?b
"?b gender ""male""",Charles_VI_Holy_Roman_Emperor successor ?b,2,1.0,0.004123711340206186,2,1,485,?b
?a spouse ?c,?a father Richard_Fitzalan_3rd_Earl_of_Arundel,2,1.0,0.005076142131979695,2,1,394,?a
?b child Archduchess_Maria_Anna_of_Austria_born_1738,Maria_Carolina_of_Austria parent ?b,2,1.0,1.0,2,1,2,?b
?b child Adela_of_France,Robert_I_Duke_of_Burgundy parent ?b,2,1.0,1.0,2,1,2,?b
?b successor ?a,?a father ?b,561,0.18181818181818182,0.4927536231884058,102,1,207,?a
?a gender ?c,?a child Claude_of_France,2,1.0,0.0060790273556231,2,1,329,?a
Alfonso_XI_of_Castile spouse ?a,?a spouse Alfonso_XI_of_Castile,3,1.0,1.0,3,1,3,?a
?a spouse ?c,?a child Marie_of_Orl_ans_Viscountess_of_Narbonne,2,1.0,0.006289308176100629,2,1,318,?a
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Blanche_of_Burgundy parent ?b,2,1.0,0.0007541478129713424,2,1,2652,?b
Adelaide_of_Paris parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0007541478129713424,1.0,2,1,2,?a
?b successor ?a,?a successor ?b,354,0.011299435028248588,0.017777777777777778,4,1,225,?a
?c child ?a   ?d father ?c   ?d gender ?b,?a gender ?b,892,0.19170403587443946,0.7772727272727272,171,3,220,?a
?a hasSpouse Yes,?a name Henry_III,3,1.0,0.00821917808219178,3,1,365,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a mother Joanna_of_Castile,2,1.0,0.004901960784313725,2,1,408,?a
?c successor ?a   ?c parent ?d   ?d spouse ?b,?a parent ?b,946,0.006342494714587738,0.028846153846153848,6,3,208,?a
?a child ?c,?a child Louis_Philippe_I,2,1.0,0.00468384074941452,2,1,427,?a
?b hasSpouse ?c,Judith_of_Bavaria_died_843 parent ?b,2,1.0,0.001037344398340249,2,1,1928,?b
Ren__of_Anjou child ?a,?a hasSpouse No,1169,0.001710863986313088,0.6666666666666666,2,1,3,?a
?b gender ?c,Maria_Carolina_of_Austria child ?b,10,0.2,0.002242152466367713,2,1,892,?b
Maria_Josepha_of_Austria child ?a,?a parent Maria_Josepha_of_Austria,2,1.0,1.0,2,1,2,?a
Philip_III_of_France child ?b,Marie_of_Brabant_Queen_of_France child ?b,3,1.0,0.6,3,1,5,?b
?b child Sophie_of_France_1786_1787,Marie_Th_r_se_of_France parent ?b,2,1.0,1.0,2,1,2,?b
?a parent Gertrude_of_Hohenberg,?a father Rudolf_I_of_Germany,3,1.0,1.0,3,1,3,?a
?b hasSpouse ?c,Anne_of_Brittany child ?b,3,1.0,0.0015560165975103733,3,1,1928,?b
?a predecessor ?b,?a parent ?b,946,0.12156448202959831,0.4581673306772908,115,1,251,?a
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,John_of_Bohemia child ?b,5,1.0,0.001885369532428356,5,1,2652,?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Princess_Elizabeth_of_Great_Britain,2,1.0,0.00468384074941452,2,1,427,?a
?a child ?c,?a father Charles_V_Holy_Roman_Emperor,2,1.0,0.006472491909385114,2,1,309,?a
?b hasSpouse ?c,Afonso_III_of_Portugal child ?b,7,1.0,0.0036307053941908715,7,1,1928,?b
?c child ?a,?a parent Maria_Anna_Victoria_of_Bavaria,2,1.0,0.0060790273556231,2,1,329,?a
?b hasSpouse ?c,Louis_VIII_of_France successor ?b,2,1.0,0.001037344398340249,2,1,1928,?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a successor Willa_of_Tuscany,2,1.0,0.006430868167202572,2,1,311,?a
?a gender ?c,?a successor Victor_Amadeus_II_of_Sardinia,2,1.0,0.010869565217391304,2,1,184,?a
?b child Archduchess_Maria_Theresa_of_Austria_Este_1817_1886,Archduchess_Maria_Theresa_of_Austria_Este_1817_1886 parent ?b,2,1.0,1.0,2,1,2,?b
?a hasSpouse ?c   ?d hasSpouse ?c   ?d spouse ?b,?a spouse ?b,865,0.7687861271676301,0.0019201339762654117,665,3,346330,?a
?a gender ?c,?a child Alix_of_France,2,1.0,0.0060790273556231,2,1,329,?a
?b hasSpouse Yes,Ferdinand_I_Holy_Roman_Emperor parent ?b,2,1.0,0.002635046113306983,2,1,759,?b
?a parent Joanna_of_Bourbon,?a parent Charles_V_of_France,2,1.0,1.0,2,1,2,?a
?b gender ?c,Robert_I_Duke_of_Burgundy spouse ?b,2,1.0,0.002242152466367713,2,1,892,?b
?a parent ?c,?a child Charles_Felix_of_Sardinia,2,1.0,0.005141388174807198,2,1,389,?a
?b hasSpouse ?c,Margaret_of_Valois_Angoul_me parent ?b,2,1.0,0.001037344398340249,2,1,1928,?b
?b spouse ?c,Joan_Beaufort_Queen_of_Scots parent ?b,2,1.0,0.002600780234070221,2,1,769,?b
?b father ?c,Philip_II_of_France parent ?b,2,1.0,0.0035650623885918,2,1,561,?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Henry_I_of_France spouse ?b,2,1.0,0.0007541478129713424,2,1,2652,?b
?c spouse ?a,?a predecessor Henry_of_Bohemia,2,1.0,0.011695906432748537,2,1,171,?a
?a child ?c,?a predecessor Henry_of_Bohemia,2,1.0,0.011235955056179775,2,1,178,?a
?a successor Louis_VIII_of_France,?a hasSpouse Yes,759,0.002635046113306983,1.0,2,1,2,?a
?b child Charles_of_Valois_Duke_of_Berry,Louis_XI parent ?b,2,1.0,1.0,2,1,2,?b
?a spouse ?c   ?c spouse ?b,?a spouse ?b,865,0.013872832369942197,0.014336917562724014,12,2,837,?a
?a parent Ramon_Berenguer_IV_Count_of_Provence,?a parent Beatrice_of_Savoy,2,1.0,1.0,2,1,2,?a
?a successor ?c   ?c parent ?d   ?d child ?b,?a successor ?b,354,0.4632768361581921,0.23631123919308358,164,3,694,?a
?a mother ?c   ?c successor ?b,?a child ?b,1508,0.000663129973474801,0.03125,1,2,32,?a
?a father Louis_Duke_of_Savoy,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0015082956259426848,1.0,4,1,4,?a
Anne_of_Brittany child ?b,Louis_XII child ?b,2,1.0,0.6666666666666666,2,1,3,?b
?b hasSpouse ?c,Salomea_of_Berg child ?b,6,1.0,0.0031120331950207467,6,1,1928,?b
?c predecessor ?a,?a predecessor Rudolph_II_of_Burgundy,2,1.0,0.010810810810810811,2,1,185,?a
?a parent ?c,?a child John_Tristan_Count_of_Valois,2,1.0,0.005141388174807198,2,1,389,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b parent ?d,?a successor ?b,354,0.711864406779661,0.0013069183694637487,252,3,192820,?a
?c predecessor ?a   ?d parent ?c   ?d gender ?b,?a gender ?b,892,0.06278026905829596,0.6153846153846154,56,3,91,?a
?a hasSpouse ?c,?a father Philippe_I_Duke_of_Orl_ans,2,1.0,0.004830917874396135,2,1,414,?a
"?b gender ""female""",Louis_the_Stammerer spouse ?b,2,1.0,0.004914004914004914,2,1,407,?b
?a name ?c,?a parent John_Constable_of_Portugal,2,1.0,0.004048582995951417,2,1,494,?a
?c spouse ?b,Agnes_of_France_Duchess_of_Burgundy parent ?b,2,1.0,0.002642007926023778,2,1,757,?b
?c mother ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.13386123680241327,1.0,355,1,355,?a
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Henry_IV_of_France spouse ?b,2,1.0,0.0007541478129713424,2,1,2652,?b
?a parent ?c   ?c hasSpouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.19947209653092007,1.0,529,3,529,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a predecessor Louis_XII,2,1.0,0.006578947368421052,2,1,304,?a
?a child ?c,?a child Louis_XII,2,1.0,0.00468384074941452,2,1,427,?a
?c child ?b,Edward_I_of_England parent ?b,2,1.0,0.001670843776106934,2,1,1197,?b
?c successor ?a   ?c name ?b,?a successor ?b,354,0.005649717514124294,0.015625,2,2,128,?a
?c successor ?a,?a name Henry_III,3,0.6666666666666666,0.012121212121212121,2,1,165,?a
?c parent ?a,?a child Charlotte_of_Savoy,2,1.0,0.006309148264984227,2,1,317,?a
?a parent ?c,?a parent Hugh_IV_Duke_of_Burgundy,2,1.0,0.0032258064516129032,2,1,620,?a
?c child ?b,Marie_of_Anjou child ?b,7,1.0,0.005847953216374269,7,1,1197,?b
?c child ?b,Charles_VI_Holy_Roman_Emperor predecessor ?b,2,1.0,0.001670843776106934,2,1,1197,?b
?b spouse ?c,John_II_of_France parent ?b,2,1.0,0.002600780234070221,2,1,769,?b
?c successor ?a   ?c gender ?b,?a gender ?b,892,0.09865470852017937,0.8380952380952381,88,2,105,?a
?a father ?c,?a child Yolande_of_Valois,2,1.0,0.006472491909385114,2,1,309,?a
?a successor ?c   ?c predecessor ?b,?a marriedTo ?b,15,0.06666666666666667,0.2,1,2,5,?a
?c spouse ?a   ?c name ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.17194570135746606,1.0,456,3,456,?a
?c parent ?a,?a name John_Stewart,3,0.6666666666666666,0.004597701149425287,2,1,435,?a
?b gender ?c,James_V_of_Scotland parent ?b,2,1.0,0.002242152466367713,2,1,892,?b
?a gender ?c,?a father Charles_Count_of_Valois,3,1.0,0.007009345794392523,3,1,428,?a
?a gender ?c,?a parent Gaston_IV_Count_of_Foix,2,1.0,0.0041841004184100415,2,1,478,?a
Philip_II_Duke_of_Savoy parent ?a,?a child Jacques_of_Savoy_Count_of_Romont,2,1.0,1.0,2,1,2,?a
Ramon_Berenguer_IV_Count_of_Provence child ?b,Beatrice_of_Savoy child ?b,3,1.0,0.75,3,1,4,?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Wilhelmine_Amalie_of_Brunswick child ?b,2,1.0,0.0007541478129713424,2,1,2652,?b
?b parent ?c,Maximilian_II_Holy_Roman_Emperor parent ?b,2,1.0,0.0032258064516129032,2,1,620,?b
?a gender ?c,?a father Henry_VII_Holy_Roman_Emperor,2,1.0,0.004672897196261682,2,1,428,?a
?a child ?c,?a child Constance_of_Aragon_Lady_of_Villena,2,1.0,0.00468384074941452,2,1,427,?a
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Wilhelmine_Amalie_of_Brunswick parent ?b,2,1.0,0.0007541478129713424,2,1,2652,?b
Charles_Ferdinand_Duke_of_Berry child ?b,Marie_Caroline_of_Bourbo_Two_Sicilies_Duchess_of_Berry child ?b,2,1.0,1.0,2,1,2,?b
?a child ?c   ?c predecessor ?b,?a marriedTo ?b,15,0.2,0.25,3,2,12,?a
?a child ?c,?a father Ferdinand_I_of_Aragon,2,1.0,0.006472491909385114,2,1,309,?a
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Afonso_II_of_Portugal child ?b,3,1.0,0.0011312217194570137,3,1,2652,?b
?a spouse Philip_VI_of_France,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,2652,0.0007541478129713424,1.0,2,1,2,?a
?a mother ?c,?a parent Charles_Count_of_Valois,2,1.0,0.005128205128205128,2,1,390,?a
