Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?c child ?a   ?c child ?d   ?b child ?d,?a predecessor ?b,358,0.3770949720670391,0.46551724137931033,135,3,290,?a
?c name ?a   ?c name ?d   ?b spouse ?d,?a father ?b,561,0.0,0.0,0,3,68,?a
?c name ?a   ?c child ?b,?a parent ?b,946,0.0010570824524312897,0.00546448087431694,1,2,183,?a
?c child ?a   ?c successor ?d   ?b child ?d,?a parent ?b,946,0.17758985200845667,0.6746987951807228,168,3,249,?a
?b successor ?a,?a father ?b,561,0.18181818181818182,0.4927536231884058,102,1,207,?a
?b successor ?a,?a successor ?b,354,0.011299435028248588,0.017777777777777778,4,1,225,?a
?c child ?a   ?d father ?c   ?d gender ?b,?a gender ?b,892,0.19170403587443946,0.7772727272727272,171,3,220,?a
?c successor ?a   ?c parent ?d   ?d spouse ?b,?a parent ?b,946,0.006342494714587738,0.028846153846153848,6,3,208,?a
?a predecessor ?b,?a parent ?b,946,0.12156448202959831,0.4581673306772908,115,1,251,?a
?a hasSpouse ?c   ?d hasSpouse ?c   ?d spouse ?b,?a spouse ?b,865,0.7687861271676301,0.0019201339762654117,665,3,346330,?a
?a spouse ?c   ?c spouse ?b,?a spouse ?b,865,0.013872832369942197,0.014336917562724014,12,2,837,?a
?a successor ?c   ?c parent ?d   ?d child ?b,?a successor ?b,354,0.4632768361581921,0.23631123919308358,164,3,694,?a
?a mother ?c   ?c successor ?b,?a child ?b,1508,0.000663129973474801,0.03125,1,2,32,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b parent ?d,?a successor ?b,354,0.711864406779661,0.0013069183694637487,252,3,192820,?a
?c predecessor ?a   ?d parent ?c   ?d gender ?b,?a gender ?b,892,0.06278026905829596,0.6153846153846154,56,3,91,?a
?a parent ?c   ?c hasSpouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.19947209653092007,1.0,529,3,529,?a
?c successor ?a   ?c name ?b,?a successor ?b,354,0.005649717514124294,0.015625,2,2,128,?a
?c successor ?a   ?c gender ?b,?a gender ?b,892,0.09865470852017937,0.8380952380952381,88,2,105,?a
?a successor ?c   ?c predecessor ?b,?a marriedTo ?b,15,0.06666666666666667,0.2,1,2,5,?a
?c spouse ?a   ?c name ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.17194570135746606,1.0,456,3,456,?a
?a child ?c   ?c predecessor ?b,?a marriedTo ?b,15,0.2,0.25,3,2,12,?a
?a parent ?c   ?c spouse ?d   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.13485477178423236,0.9285714285714286,260,3,280,?a
?c name ?a   ?c successor ?b,?a father ?b,561,0.0017825311942959,0.09090909090909091,1,2,11,?a
?a parent ?c   ?d mother ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.12895927601809956,1.0,342,3,342,?a
?a name ?c   ?d name ?c   ?d parent ?b,?a child ?b,1508,0.0,0.0,0,3,627,?a
