Rock,#type,Genre
Pop,#type,Genre
Country,#type,Genre
Jazz,#type,Genre
Funk,#type,Genre
Soul,#type,Genre
Metal,#type,Genre
,,
,,
The_Beatles,hasAlbum,Rubber_Soul
The_Beatles,hasAlbum,Revolver
The_Beatles,hasAlbum,The Beatles(Album)
The_Beatles,hasAlbum,Abbey Road
The_Beatles,hasAlbum,Let It Be
,,
Rubber_Soul,releaseYear,1965
Revolver,releaseYear,1966
The Beatles(Album),releaseYear,1968
Abbey Road,releaseYear,1969
Let It Be,releaseYear,1970
,,
Rubber_Soul,isGenre,Rock
Revolver,isGenre,Rock
The Beatles(Album),isGenre,Jazz
Abbey Road,isGenre,Rock
Let It Be,isGenre,Rock
Let It Be,isGenre,Pop
,,
The Beatles,#type,Band
Rubber_Soul,#type,Album
Revolver,#type,Album
The Beatles(Album),#type,Album
Abbey Road,#type,Album
Let It Be,#type,Album
,,
,,
,,
Dire Straits,hasAlbum,Dire Straits(Album)
Dire Straits,hasAlbum,Communiqué
Dire Straits,hasAlbum,Making Movies
Dire Straits,hasAlbum,Love Over Gold
Dire Straits,hasAlbum,Brothers In Arms
,,
Dire Straits(Album),releaseYear,1978
Communiqué,releaseYear,1979
Making Movies,releaseYear,1980
Love Over Gold,releaseYear,1982
Brothers In Arms,releaseYear,1985
,,
Dire Straits(Album),isGenre,Rock
Communiqué,isGenre,Rock
Making Movies,isGenre,Rock
Making Movies,isGenre,Pop
Love Over Gold,isGenre,Rock
Brothers In Arms,isGenre,Rock
,,
Down To The Waterline,isGenre,Rock
Water Of Love,isGenre,Country
Setting Me Up,isGenre,Rock
Six Blade Knife,isGenre,Rock
Southbound Again,isGenre,Rock
Sultans Of Swing,isGenre,Funk
In The Gallery,isGenre,Rock
Wild West End,isGenre,Rock
Lions,isGenre,Rock
,,
Down To The Waterline,includedIn,Dire Straits(Album)
Water Of Love,includedIn,Dire Straits(Album)
Setting Me Up,includedIn,Dire Straits(Album)
Six Blade Knife,includedIn,Dire Straits(Album)
Southbound Again,includedIn,Dire Straits(Album)
Sultans Of Swing,includedIn,Dire Straits(Album)
In The Gallery,includedIn,Dire Straits(Album)
Wild West End,includedIn,Dire Straits(Album)
Lions,includedIn,Dire Straits(Album)
,,
Down To The Waterline,#type,Song
Water Of Love,#type,Song
Setting Me Up,#type,Song
Six Blade Knife,#type,Song
Southbound Again,#type,Song
Sultans Of Swing,#type,Song
In The Gallery,#type,Song
Wild West End,#type,Song
Lions,#type,Song
,,
Dire Straits,#type,Band
Dire Straits(Album),#type,Album
Communiqué,#type,Album
Making Movies,#type,Album
Love Over Gold,#type,Album
Brothers In Arms,#type,Album
,,
,,
,,
The Police,hasAlbum,Outlandos D’Amour
The Police,hasAlbum,Regatta De Blanc
The Police,hasAlbum,Zenyatta Mondatta
The Police,hasAlbum,Synchronicity
The Police,hasAlbum,Ghost In The Machine
,,
Outlandos D’Amour,releaseYear,1978
Regatta De Blanc,releaseYear,1979
Zenyatta Mondatta,releaseYear,1980
Synchronicity,releaseYear,1983
Ghost In The Machine,releaseYear,1981
,,
Outlandos D’Amour,isGenre,Rock
Regatta De Blanc,isGenre,Rock
Zenyatta Mondatta,isGenre,Rock
Synchronicity,isGenre,Rock
Ghost In The Machine,isGenre,Rock
,,
Outlandos D’Amour,isGenre,Punk
Regatta De Blanc,isGenre,Reggae
,,
The Police,#type,Band
Outlandos D’Amour,#type,Album
Regatta De Blanc,#type,Album
Zenyatta Mondatta,#type,Album
Synchronicity,#type,Album
Ghost In The Machine,#type,Album
,,
,,
Sting,hasAlbum,Ten Summoner’s Tales
,,
Ten Summoner’s Tales,releaseYear,1993
,,
Ten Summoner’s Tales,isGenre,Pop
,,
Sting,#type,Solo Artist
Ten Summoner’s Tales,#type,Album
,,
,,
,,
Eric Clapton,hasAlbum,461 Ocean Blvd.
,,
461 Ocean Blvd.,releaseYear,1974
,,
461 Ocean Blvd.,isGenre,Blues
,,
Eric Clapton,#type,Solo Artist
461 Ocean Blvd.,#type,Album
,,
,,
,,
TOTO,hasAlbum,Toto
TOTO,hasAlbum,Toto IV
TOTO,hasAlbum,The Seventh One
,,
Toto,isGenre,Rock
Toto IV,isGenre,Rock
The Seventh One,isGenre,Rock
,,
Rosanna,isGenre,Rock
Make Beleive,isGenre,Metal
I Won’t Hold You Back,isGenre,Rock
Good For You,isGenre,Rock
It’s a Feeling,isGenre,Soul
Afraid of Love,isGenre,Rock
Lovers in the Night,isGenre,Country
We Made It,isGenre,Rock
Waiting for Your Love,isGenre,Rock
Africa,isGenre,Rock
,,
Rosanna,includedIn,Toto IV
Make Beleive,includedIn,Toto IV
I Won’t Hold You Back,includedIn,Toto IV
Good For You,includedIn,Toto IV
It’s a Feeling,includedIn,Toto IV
Afraid of Love,includedIn,Toto IV
Lovers in the Night,includedIn,Toto IV
We Made It,includedIn,Toto IV
Waiting for Your Love,includedIn,Toto IV
Africa,includedIn,Toto IV
,,
Rosanna,#type,Song
Make Beleive,#type,Song
I Won’t Hold You Back,#type,Song
Good For You,#type,Song
It’s a Feeling,#type,Song
Afraid of Love,#type,Song
Lovers in the Night,#type,Song
We Made It,#type,Song
Waiting for Your Love,#type,Song
Africa,#type,Song
,,
TOTO,#type,Band
Toto,#type,Album
Toto IV,#type,Album
The Seventh One,#type,Album
,,
,,
,,
,,
,,
,,
Sting,collaboratedWith,Dire Straits
Eric Clapton,collaboratedWith,The Beatles
The Beatles,collaboratedWith,Eric Clapton
